               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10951,            0.024735,            0.033007,                   0,                   0,                   0,                   0,            0.064013,            0.012617,            0.020813,             0.00033,             0.00033,             0.09703
                   1,            0.089637,            0.027601,            0.031558,                   0,                   0,                   0,                   0,            0.061466,            0.010743,            0.020709,           0.0006694,           0.0006694,            0.093969
                   2,            0.080111,            0.025574,            0.029605,          0.00040812,            0.016667,          0.00041508,          4.3292e-05,            0.067251,           0.0093796,             0.02078,           0.0010082,           0.0010082,            0.090908
                   3,            0.079565,            0.027619,            0.030721,           0.0059759,            0.076389,           0.0058325,           0.0010935,            0.053372,             0.12101,             0.15772,           0.0013464,           0.0013464,            0.087846
                   4,            0.075693,            0.027003,            0.031197,            0.029452,             0.54583,            0.057515,            0.012599,              0.0547,             0.36404,            0.081225,           0.0016839,           0.0016839,            0.084784
                   5,            0.069438,            0.027538,            0.028858,            0.012591,            0.083333,             0.01368,           0.0036062,            0.054696,              0.2292,            0.083286,           0.0020209,           0.0020209,            0.081721
                   6,            0.072063,            0.027399,            0.030534,            0.028998,             0.15833,            0.040193,           0.0068624,            0.052079,               0.018,            0.027912,           0.0023572,           0.0023572,            0.078657
                   7,            0.068482,            0.030345,            0.029876,            0.019273,             0.44306,            0.030935,           0.0038799,             0.04305,           0.0079429,             0.02315,           0.0026929,           0.0026929,            0.075593
                   8,            0.064094,            0.030601,            0.029368,             0.29734,             0.24558,             0.15098,            0.022886,            0.044007,           0.0089809,            0.023639,            0.003028,            0.003028,            0.072528
                   9,            0.067446,            0.028469,            0.030814,             0.23306,             0.13251,            0.083933,            0.011686,            0.047992,            0.085893,            0.053858,           0.0033625,           0.0033625,            0.069463
                  10,            0.063574,            0.030824,            0.029795,            0.023463,             0.70278,             0.02891,           0.0052597,            0.038724,            0.020281,            0.023972,           0.0036964,           0.0036964,            0.066396
                  11,            0.061526,            0.023265,             0.02821,             0.19847,             0.16667,             0.03684,            0.013455,            0.053552,             0.70291,            0.080783,           0.0040297,           0.0040297,             0.06333
                  12,            0.061959,            0.026848,            0.028658,             0.74933,            0.013889,            0.021143,           0.0029378,            0.050466,           0.0085842,            0.019751,           0.0043623,           0.0043623,            0.060262
