               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.054525,            0.020221,            0.030286,             0.17367,             0.75795,             0.24827,            0.091649,            0.030029,            0.010641,            0.020156,           0.0059173,           0.0059173,            0.044817
                  36,            0.051149,            0.018137,            0.030324,             0.24283,             0.13333,            0.080658,            0.031814,            0.053081,            0.010901,            0.020164,           0.0060763,           0.0060763,            0.043276
                  37,            0.051916,            0.019557,            0.030195,             0.20117,             0.51296,             0.28799,             0.11704,             0.02336,            0.010649,            0.019987,            0.006235,            0.006235,            0.041735
                  38,            0.050367,            0.016968,            0.030128,              0.1569,             0.70556,             0.38725,             0.12551,            0.029773,            0.010288,            0.020236,           0.0063934,           0.0063934,            0.040193
                  39,            0.048491,            0.019626,            0.030259,             0.19179,             0.72754,             0.27445,             0.17954,            0.021397,           0.0091315,            0.020419,           0.0065514,           0.0065514,            0.038651
                  40,            0.046797,            0.018294,            0.029867,             0.31721,             0.69778,              0.4393,             0.20883,            0.020433,            0.013063,            0.020663,           0.0067092,           0.0067092,            0.037109
                  41,            0.050884,            0.021102,            0.029723,             0.22392,             0.73611,             0.32716,                0.22,            0.019362,           0.0096746,            0.020669,           0.0068666,           0.0068666,            0.035567
                  42,            0.044839,            0.015824,            0.030017,             0.15696,                   1,             0.31431,             0.13782,            0.025984,           0.0076926,            0.020858,           0.0070238,           0.0070238,            0.034024
                  43,            0.044255,            0.015112,            0.029963,             0.23235,             0.90124,             0.44714,             0.22649,              0.0214,           0.0070627,            0.020436,           0.0071806,           0.0071806,            0.032481
                  44,            0.044842,            0.015549,            0.029716,             0.13674,             0.60724,             0.27385,            0.099553,            0.046002,            0.008099,            0.020331,           0.0073372,           0.0073372,            0.030937
                  45,            0.043044,            0.012731,            0.029362,             0.17059,             0.96667,             0.37823,             0.17347,            0.026954,           0.0078249,            0.020123,           0.0074934,           0.0074934,            0.029393
                  46,            0.043819,            0.015191,            0.029347,             0.24237,             0.94444,             0.34874,             0.24134,             0.02485,           0.0067958,            0.020125,           0.0076493,           0.0076493,            0.027849
                  47,            0.041926,            0.015424,            0.029412,             0.21662,             0.89878,             0.30944,             0.15291,            0.018732,           0.0064453,            0.020204,           0.0078049,           0.0078049,            0.026305
                  48,            0.041762,             0.01299,            0.029292,             0.48757,              0.5744,             0.44198,             0.30289,            0.020566,           0.0065722,            0.020496,           0.0079602,           0.0079602,             0.02476
                  49,            0.040884,              0.0119,             0.02842,             0.24928,             0.93333,             0.35479,             0.19412,            0.023454,           0.0067727,            0.020443,           0.0081152,           0.0081152,            0.023215
                  50,            0.043544,            0.015143,            0.028851,             0.43694,             0.76667,             0.38887,             0.26717,            0.016988,           0.0063675,            0.021181,           0.0082699,           0.0082699,             0.02167
                  51,            0.042337,            0.018933,            0.028692,             0.36448,             0.78461,             0.47025,             0.34445,            0.015086,           0.0063776,              0.0209,           0.0084243,           0.0084243,            0.020124
                  52,            0.041214,            0.013945,            0.028735,             0.45172,             0.83333,             0.47024,              0.3283,            0.014025,           0.0046589,              0.0208,           0.0085784,           0.0085784,            0.018578
                  53,            0.041304,            0.014792,            0.029009,             0.19183,               0.925,             0.33345,             0.22091,            0.016887,           0.0059906,            0.020382,           0.0087322,           0.0087322,            0.017032
                  54,            0.039693,            0.014955,            0.030366,             0.26949,             0.86667,             0.34141,             0.26321,            0.012951,           0.0049659,            0.020475,           0.0088856,           0.0088856,            0.015486
                  55,            0.040002,              0.0139,            0.029632,             0.21711,             0.77766,              0.3281,             0.21324,            0.024521,           0.0064494,            0.020213,           0.0090388,           0.0090388,            0.013939
                  56,            0.038688,            0.011048,            0.028416,             0.21281,             0.90833,             0.39824,             0.27646,            0.018876,           0.0042957,            0.020407,           0.0091916,           0.0091916,            0.012392
                  57,            0.036634,            0.014881,            0.029037,             0.26155,             0.68889,             0.43566,             0.33728,            0.014966,           0.0050542,            0.020753,           0.0093442,           0.0093442,            0.010844
                  58,            0.040637,            0.014399,            0.027557,             0.18612,             0.93253,             0.37579,              0.3021,            0.012602,           0.0042976,            0.020821,           0.0094775,           0.0094775,           0.0094775
