               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.047093,            0.015696,            0.029737,            0.084409,             0.97222,             0.12314,            0.070943,            0.016624,            0.010203,            0.020439,           0.0059173,           0.0059173,            0.044817
                  36,            0.048424,             0.01496,            0.029883,             0.17846,             0.99269,              0.3789,             0.23148,            0.020458,           0.0075159,            0.020553,           0.0060763,           0.0060763,            0.043276
                  37,            0.044891,            0.014195,            0.029153,            0.093046,             0.64167,             0.16678,            0.042159,            0.045404,            0.008912,            0.020377,            0.006235,            0.006235,            0.041735
                  38,            0.045354,            0.014475,            0.030273,             0.18479,             0.98611,             0.29269,             0.19296,            0.016074,             0.00747,            0.020834,           0.0063934,           0.0063934,            0.040193
                  39,            0.043009,            0.014687,            0.029734,             0.23054,             0.98611,             0.38027,             0.27548,            0.017476,           0.0087906,            0.020743,           0.0065514,           0.0065514,            0.038651
                  40,            0.042488,            0.013069,            0.029162,             0.17059,             0.95331,             0.41955,             0.24935,            0.019554,           0.0065722,            0.021038,           0.0067092,           0.0067092,            0.037109
                  41,             0.04413,            0.013467,            0.029874,             0.29686,             0.87617,             0.37413,              0.2384,            0.019356,            0.007717,            0.020861,           0.0068666,           0.0068666,            0.035567
                  42,            0.043532,            0.012894,            0.028918,             0.23244,             0.92486,             0.41642,             0.29811,             0.01444,           0.0078018,            0.020711,           0.0070238,           0.0070238,            0.034024
                  43,            0.040579,            0.012867,            0.029733,             0.35631,              0.7342,             0.23968,             0.14744,            0.015271,           0.0066576,             0.02048,           0.0071806,           0.0071806,            0.032481
                  44,            0.040527,            0.012702,            0.030266,             0.17364,                   1,             0.29111,             0.19696,            0.021031,           0.0052872,            0.020507,           0.0073372,           0.0073372,            0.030937
                  45,            0.041821,            0.011964,            0.029512,             0.53552,                 0.6,              0.5256,             0.42242,            0.013927,           0.0048766,            0.020688,           0.0074934,           0.0074934,            0.029393
                  46,            0.039546,             0.01234,            0.028419,             0.25777,             0.79835,             0.39957,             0.27139,            0.013833,           0.0047838,            0.020838,           0.0076493,           0.0076493,            0.027849
                  47,            0.040786,             0.01181,            0.028679,            0.025929,             0.46944,            0.028488,            0.003936,            0.045548,            0.012272,             0.02053,           0.0078049,           0.0078049,            0.026305
                  48,            0.041033,            0.012505,             0.02958,             0.19781,                   1,             0.30236,             0.19397,            0.014284,           0.0056121,            0.020975,           0.0079602,           0.0079602,             0.02476
                  49,            0.040256,            0.011967,            0.029138,             0.23246,                0.85,             0.28399,             0.20929,             0.01325,           0.0052444,            0.020928,           0.0081152,           0.0081152,            0.023215
                  50,            0.036545,            0.011219,            0.028672,             0.17859,             0.99229,             0.41074,             0.26566,            0.019613,           0.0077349,            0.020724,           0.0082699,           0.0082699,             0.02167
                  51,            0.037766,            0.011266,            0.028898,             0.18067,                   1,             0.32425,             0.22367,            0.014406,           0.0044017,            0.020877,           0.0084243,           0.0084243,            0.020124
                  52,            0.039152,            0.011304,            0.029473,             0.17023,             0.99401,             0.35293,             0.23503,            0.018022,           0.0063402,            0.020695,           0.0085784,           0.0085784,            0.018578
                  53,            0.039471,            0.010701,            0.028612,             0.17834,                   1,             0.24327,             0.17028,            0.015042,           0.0056989,            0.020696,           0.0087322,           0.0087322,            0.017032
                  54,            0.037196,            0.010802,            0.029051,              0.2487,             0.90876,             0.34189,             0.25077,            0.012444,           0.0040028,            0.020776,           0.0088856,           0.0088856,            0.015486
                  55,             0.03617,            0.010326,            0.028318,             0.19933,             0.93333,              0.3536,             0.24713,            0.016358,           0.0049422,            0.020764,           0.0090388,           0.0090388,            0.013939
                  56,            0.037169,            0.010517,            0.027917,             0.25059,             0.94307,              0.2821,             0.21636,            0.012893,           0.0049943,            0.021033,           0.0091916,           0.0091916,            0.012392
                  57,            0.035334,           0.0098596,            0.028017,             0.19972,                   1,             0.25607,             0.19741,            0.011951,           0.0064054,            0.021173,           0.0093442,           0.0093442,            0.010844
                  58,            0.033118,            0.010115,            0.027821,             0.54022,              0.5042,             0.40931,             0.27719,            0.014229,           0.0065597,            0.021118,           0.0094775,           0.0094775,           0.0094775
                  59,            0.035402,           0.0096237,            0.028472,             0.29501,             0.91667,             0.50379,             0.24481,             0.01861,            0.004412,            0.021214,           0.0094775,           0.0094775,           0.0094775
                  60,             0.03477,            0.010268,            0.028395,             0.27163,             0.90457,             0.50682,             0.29684,            0.015626,            0.004089,            0.021046,           0.0094685,           0.0094685,           0.0094685
                  61,            0.035312,           0.0099974,             0.02818,             0.16607,                   1,             0.42685,             0.19264,            0.018882,           0.0044419,            0.020993,           0.0094595,           0.0094595,           0.0094595
                  62,            0.032515,           0.0093709,            0.029022,             0.46479,             0.61412,             0.40794,             0.31649,            0.013056,           0.0030845,            0.020776,           0.0094505,           0.0094505,           0.0094505
                  63,            0.030388,           0.0086474,            0.029039,             0.36978,             0.80874,             0.45895,             0.33567,            0.013268,           0.0030355,            0.020664,           0.0094414,           0.0094414,           0.0094414
                  64,            0.030126,           0.0087428,            0.028562,             0.22922,             0.84444,              0.4093,             0.26976,            0.014907,           0.0029482,             0.02057,           0.0094324,           0.0094324,           0.0094324
                  65,            0.030795,           0.0089452,            0.028014,             0.29001,             0.93556,             0.60858,             0.44396,            0.012412,           0.0028839,            0.020378,           0.0094234,           0.0094234,           0.0094234
                  66,             0.02802,           0.0086385,            0.028305,             0.30811,             0.89733,              0.5186,             0.41653,            0.010815,           0.0029546,            0.020179,           0.0094144,           0.0094144,           0.0094144
                  67,            0.030224,           0.0083463,            0.027989,             0.24829,                   1,             0.62709,             0.46809,            0.012553,           0.0030922,            0.020108,           0.0094054,           0.0094054,           0.0094054
                  68,            0.028079,           0.0082547,            0.027407,             0.35699,             0.93064,             0.65015,             0.49444,             0.01079,           0.0027457,            0.020093,           0.0093964,           0.0093964,           0.0093964
                  69,            0.029108,           0.0083313,            0.027326,             0.32474,             0.96667,             0.58251,             0.46735,            0.010854,           0.0029213,            0.019934,           0.0093874,           0.0093874,           0.0093874
                  70,             0.02855,           0.0079372,            0.028152,             0.30571,                   1,             0.50179,             0.40968,            0.014292,           0.0026647,            0.020065,           0.0093784,           0.0093784,           0.0093784
                  71,            0.028187,           0.0084042,            0.027833,             0.31171,                   1,             0.70517,             0.59242,            0.010071,           0.0028836,            0.020334,           0.0093694,           0.0093694,           0.0093694
                  72,            0.028744,            0.008267,             0.02596,             0.35886,             0.97535,              0.5548,             0.41192,             0.01192,           0.0026022,            0.020627,           0.0093604,           0.0093604,           0.0093604
                  73,             0.02737,           0.0081225,            0.026593,             0.33308,             0.97676,             0.67922,             0.51996,            0.011983,           0.0024979,            0.021099,           0.0093514,           0.0093514,           0.0093514
                  74,            0.027885,           0.0080398,            0.025412,             0.47458,             0.89431,             0.68662,             0.55253,            0.010136,           0.0025889,            0.021535,           0.0093423,           0.0093423,           0.0093423
                  75,            0.030399,           0.0082021,             0.02525,             0.26325,             0.88808,             0.39169,             0.30105,            0.012724,            0.003595,            0.022275,           0.0093333,           0.0093333,           0.0093333
                  76,            0.026936,           0.0078777,            0.027165,             0.34003,                   1,             0.57261,             0.46207,            0.010209,           0.0026275,            0.021451,           0.0093243,           0.0093243,           0.0093243
                  77,            0.025876,           0.0077718,             0.02551,             0.30093,             0.96537,             0.58508,             0.44108,            0.011936,           0.0031062,            0.021611,           0.0093153,           0.0093153,           0.0093153
                  78,            0.028764,           0.0082607,            0.028372,             0.16497,                   1,             0.52275,             0.39222,            0.012815,           0.0038917,            0.021121,           0.0093063,           0.0093063,           0.0093063
                  79,            0.030213,           0.0089325,            0.029636,               0.645,             0.66667,             0.62478,             0.48432,            0.011124,           0.0030773,            0.020498,           0.0092973,           0.0092973,           0.0092973
                  80,            0.024649,           0.0076094,            0.028225,             0.39928,             0.91841,              0.7095,             0.56655,             0.01029,           0.0035917,            0.019656,           0.0092883,           0.0092883,           0.0092883
                  81,            0.026323,           0.0074756,            0.027011,             0.45025,              0.9375,             0.64232,             0.44005,            0.013216,           0.0027735,            0.019171,           0.0092793,           0.0092793,           0.0092793
                  82,             0.02701,           0.0077293,            0.026363,             0.43884,              0.9375,             0.52127,             0.37147,            0.014115,           0.0025684,            0.019176,           0.0092703,           0.0092703,           0.0092703
                  83,            0.027016,           0.0076778,            0.026885,             0.51102,                   1,             0.57622,              0.4666,           0.0093815,           0.0023953,            0.018988,           0.0092613,           0.0092613,           0.0092613
                  84,             0.02569,           0.0079702,            0.025783,             0.40189,                   1,             0.65395,              0.4554,            0.013042,           0.0025625,            0.019683,           0.0092523,           0.0092523,           0.0092523
                  85,            0.024176,           0.0074205,            0.025591,             0.49426,             0.97917,             0.54254,             0.42345,            0.010669,           0.0022247,            0.019582,           0.0092432,           0.0092432,           0.0092432
                  86,            0.026083,           0.0074287,             0.02475,             0.38884,                   1,             0.55307,             0.40852,            0.010784,           0.0023366,            0.019494,           0.0092342,           0.0092342,           0.0092342
                  87,            0.024787,            0.007312,            0.024331,             0.38407,             0.97917,             0.59673,             0.46071,            0.011099,           0.0024766,             0.01976,           0.0092252,           0.0092252,           0.0092252
                  88,            0.026972,           0.0072171,             0.02382,             0.49502,             0.83274,              0.5099,              0.3483,            0.015665,           0.0025261,            0.020063,           0.0092162,           0.0092162,           0.0092162
                  89,            0.024677,           0.0075087,            0.025622,             0.27318,             0.99685,             0.58873,             0.40798,            0.016193,           0.0028171,            0.020825,           0.0092072,           0.0092072,           0.0092072
                  90,            0.024591,           0.0076464,            0.025672,              0.5871,             0.74167,             0.68386,             0.52694,            0.010628,           0.0023971,            0.019902,           0.0091982,           0.0091982,           0.0091982
