               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.049603,            0.016188,            0.029383,            0.012379,              0.4625,             0.01844,           0.0047224,            0.035679,           0.0059506,            0.019548,           0.0050023,           0.0050023,            0.053302
                  37,            0.048463,            0.015246,            0.029263,                   0,                   0,                   0,                   0,            0.050923,           0.0082909,            0.019272,            0.005133,            0.005133,            0.052033
                  38,            0.048057,            0.015748,            0.028489,              0.1489,             0.70833,             0.29677,            0.079509,            0.025228,           0.0068689,            0.012812,           0.0052634,           0.0052634,            0.050763
                  39,            0.044762,            0.015404,            0.029113,             0.05786,             0.40278,            0.088193,            0.016419,            0.035611,           0.0076747,            0.013115,           0.0053936,           0.0053936,            0.049494
                  40,            0.042925,            0.015178,             0.02889,             0.45363,              0.3328,             0.23147,            0.079817,            0.022966,           0.0056569,             0.01307,           0.0055235,           0.0055235,            0.048224
                  41,            0.043034,            0.015493,            0.028909,             0.21016,             0.74028,               0.352,             0.12024,            0.019499,           0.0085224,            0.015224,           0.0056532,           0.0056532,            0.046953
                  42,            0.043541,            0.014849,            0.028615,             0.32502,             0.85591,             0.59583,             0.34572,            0.016655,           0.0051551,            0.013248,           0.0057826,           0.0057826,            0.045683
                  43,            0.041452,            0.014606,            0.027324,             0.33521,             0.77801,             0.51253,             0.30941,            0.017532,            0.004795,            0.015044,           0.0059118,           0.0059118,            0.044412
                  44,            0.040854,            0.014957,             0.02752,                   0,                   0,                   0,                   0,            0.058739,            0.008959,            0.018468,           0.0060407,           0.0060407,            0.043141
                  45,            0.040475,            0.013855,            0.028023,              0.3449,             0.90278,             0.54466,             0.38399,            0.013212,           0.0046356,            0.011274,           0.0061693,           0.0061693,            0.041869
                  46,            0.041005,            0.014163,            0.027297,             0.43825,              0.8931,             0.57749,             0.30534,            0.018019,           0.0047948,            0.012452,           0.0062977,           0.0062977,            0.040598
                  47,            0.039296,            0.013703,            0.026743,           0.0045107,            0.016667,            0.001002,           0.0001864,            0.033472,           0.0089608,            0.020174,           0.0064259,           0.0064259,            0.039326
                  48,            0.038939,            0.013845,            0.027414,              0.4109,             0.28043,            0.097832,            0.059789,            0.030606,           0.0097479,            0.012081,           0.0065538,           0.0065538,            0.038054
                  49,            0.039344,            0.013631,            0.027256,             0.07434,             0.33333,            0.084073,            0.030478,            0.034395,           0.0085879,            0.013153,           0.0066814,           0.0066814,            0.036781
                  50,            0.042536,            0.013449,            0.026479,                   0,                   0,                   0,                   0,            0.069612,            0.015893,            0.018285,           0.0068088,           0.0068088,            0.035509
                  51,            0.037698,            0.013685,             0.02578,             0.29629,             0.94017,             0.53236,             0.24992,             0.02196,           0.0044298,           0.0096332,            0.006936,            0.006936,            0.034236
                  52,            0.039553,            0.013033,            0.026128,             0.33989,             0.86596,             0.52779,             0.39997,            0.010989,           0.0051482,            0.012687,           0.0070629,           0.0070629,            0.032963
                  53,            0.034988,            0.011771,            0.023817,             0.37388,              0.6875,             0.49435,             0.35942,            0.014602,           0.0050505,            0.015686,           0.0071895,           0.0071895,             0.03169
                  54,            0.036504,            0.012716,            0.024823,             0.29235,             0.96667,             0.47721,             0.32247,            0.015425,           0.0038054,           0.0093567,           0.0073159,           0.0073159,            0.030416
                  55,            0.035605,            0.012533,            0.025436,             0.28405,             0.95223,             0.55253,             0.30133,            0.023586,           0.0035934,           0.0099739,            0.007442,            0.007442,            0.029142
                  56,            0.034171,              0.0126,             0.02568,            0.036122,             0.14416,            0.043159,           0.0051535,            0.032153,           0.0061362,            0.020335,           0.0075679,           0.0075679,            0.027868
                  57,            0.034989,            0.011926,            0.024647,             0.32371,             0.87117,             0.55274,             0.41062,            0.011193,           0.0045821,            0.010288,           0.0076935,           0.0076935,            0.026594
                  58,             0.03622,            0.011756,            0.024019,             0.66667,            0.098729,             0.12458,            0.031433,             0.03553,           0.0092068,             0.01163,           0.0078189,           0.0078189,            0.025319
                  59,            0.037353,            0.012197,            0.024214,             0.62745,              0.1625,             0.16832,            0.024679,            0.036722,           0.0063993,            0.018045,            0.007944,            0.007944,            0.024044
                  60,            0.042724,            0.013281,            0.023333,                   0,                   0,                   0,                   0,            0.076836,           0.0060937,            0.018823,           0.0080689,           0.0080689,            0.022769
                  61,            0.036954,            0.012828,            0.023112,                   0,                   0,                   0,                   0,            0.059748,            0.010313,            0.018317,           0.0081935,           0.0081935,            0.021494
                  62,            0.043165,            0.012454,            0.023431,          0.00084912,             0.24861,          0.00082611,          0.00027114,            0.038581,           0.0080295,            0.015825,           0.0083179,           0.0083179,            0.020218
                  63,            0.037008,            0.011693,            0.023329,             0.48629,             0.97222,             0.62125,             0.43819,            0.027186,           0.0036687,           0.0085037,            0.008442,            0.008442,            0.018942
                  64,            0.037492,            0.012039,            0.023121,             0.44452,                   1,             0.69885,             0.41245,            0.027175,           0.0035494,           0.0091803,           0.0085659,           0.0085659,            0.017666
                  65,            0.039412,            0.011709,              0.0225,            0.058821,             0.14167,            0.036729,            0.004885,            0.048781,           0.0065477,            0.012205,           0.0086895,           0.0086895,             0.01639
                  66,            0.036754,            0.011335,            0.021035,             0.74105,             0.33333,             0.38238,             0.18536,            0.029551,           0.0064931,            0.015084,           0.0088129,           0.0088129,            0.015113
                  67,            0.033912,            0.011151,            0.022943,           0.0039365,             0.29167,           0.0045956,           0.0014242,             0.03666,            0.006506,            0.020508,            0.008936,            0.008936,            0.013836
                  68,            0.037104,            0.011134,            0.021363,          0.00079937,             0.13333,          0.00099138,          0.00020799,            0.059989,           0.0079279,             0.01971,           0.0090588,           0.0090588,            0.012559
                  69,            0.038091,            0.011481,            0.020811,                   0,                   0,                   0,                   0,            0.076167,           0.0072609,            0.019149,           0.0091814,           0.0091814,            0.011281
                  70,            0.033189,            0.010319,            0.021316,            0.019928,             0.14583,            0.020256,           0.0085178,            0.046291,           0.0076479,            0.013894,           0.0093038,           0.0093038,            0.010004
                  71,             0.03717,            0.010679,            0.019425,             0.54513,             0.66667,              0.6398,             0.43541,              0.0212,           0.0043856,           0.0081225,           0.0093604,           0.0093604,           0.0093604
                  72,            0.033496,            0.011264,            0.022649,             0.60072,             0.99927,              0.7825,             0.52989,            0.013668,           0.0025853,           0.0076968,           0.0093604,           0.0093604,           0.0093604
                  73,            0.033957,            0.011079,            0.019417,             0.99993,             0.16667,             0.18237,            0.099379,            0.030881,           0.0073455,            0.020642,           0.0093514,           0.0093514,           0.0093514
                  74,            0.032935,            0.010801,            0.019813,              0.5487,             0.78349,             0.64804,             0.34355,            0.023505,           0.0044267,            0.010024,           0.0093423,           0.0093423,           0.0093423
                  75,            0.031498,            0.010464,            0.021762,             0.60678,                   1,             0.74391,               0.445,            0.016347,            0.003138,           0.0074119,           0.0093333,           0.0093333,           0.0093333
                  76,            0.032196,           0.0099845,            0.019565,             0.22978,             0.33333,             0.35172,             0.13325,            0.035982,           0.0059066,            0.014365,           0.0093243,           0.0093243,           0.0093243
                  77,            0.033716,            0.009733,            0.019584,             0.51923,             0.97917,             0.77338,             0.53135,            0.013666,           0.0026042,           0.0065177,           0.0093153,           0.0093153,           0.0093153
                  78,            0.034887,            0.011311,            0.015852,             0.65137,             0.98732,             0.78576,             0.50872,            0.019927,           0.0026208,           0.0079634,           0.0093063,           0.0093063,           0.0093063
                  79,            0.032126,            0.011251,            0.015202,             0.67296,                   1,             0.89956,             0.63401,             0.01726,           0.0024491,           0.0084345,           0.0092973,           0.0092973,           0.0092973
                  80,             0.03167,           0.0096104,            0.018564,              0.6548,                   1,               0.811,             0.61754,            0.015287,           0.0024963,           0.0076094,           0.0092883,           0.0092883,           0.0092883
                  81,            0.030501,           0.0088592,            0.017595,             0.60343,                   1,             0.89074,             0.67538,            0.013501,           0.0025939,           0.0066452,           0.0092793,           0.0092793,           0.0092793
                  82,            0.031793,           0.0098537,            0.017189,             0.33333,             0.16551,             0.16669,            0.079325,            0.037448,           0.0098279,             0.01881,           0.0092703,           0.0092703,           0.0092703
                  83,            0.030519,           0.0095618,            0.018524,            0.013897,             0.24583,            0.019214,            0.004922,            0.057575,           0.0099747,             0.01612,           0.0092613,           0.0092613,           0.0092613
                  84,            0.030811,              0.0112,            0.018797,             0.94491,             0.59859,              0.8193,             0.61916,             0.01746,           0.0033102,            0.006278,           0.0092523,           0.0092523,           0.0092523
                  85,            0.031431,           0.0099764,            0.017834,             0.49816,              0.9749,             0.84084,             0.66665,            0.011335,            0.002723,           0.0061591,           0.0092432,           0.0092432,           0.0092432
                  86,            0.029229,           0.0096682,            0.018495,             0.55257,             0.98381,              0.9217,              0.7399,            0.011821,           0.0022077,           0.0067562,           0.0092342,           0.0092342,           0.0092342
                  87,            0.028484,           0.0093961,            0.017992,             0.62296,                   1,             0.87268,             0.65231,            0.010998,           0.0021678,            0.006027,           0.0092252,           0.0092252,           0.0092252
                  88,            0.030705,           0.0097342,            0.018272,             0.57945,             0.91642,             0.80307,             0.60063,            0.013733,           0.0019669,           0.0067247,           0.0092162,           0.0092162,           0.0092162
                  89,            0.027662,           0.0097113,            0.018111,             0.63655,                   1,             0.85744,             0.71022,           0.0095092,           0.0021742,           0.0061196,           0.0092072,           0.0092072,           0.0092072
                  90,            0.029985,           0.0093621,            0.017829,             0.67512,             0.96592,             0.95294,             0.66528,             0.01465,           0.0022248,            0.005788,           0.0091982,           0.0091982,           0.0091982
                  91,            0.029765,            0.008977,            0.016904,             0.62438,             0.99989,             0.87796,             0.62826,            0.011241,           0.0025615,           0.0053775,           0.0091892,           0.0091892,           0.0091892
                  92,            0.028128,            0.009242,            0.013595,          7.4961e-05,            0.033333,          3.5961e-05,          7.1921e-06,            0.067119,           0.0067175,             0.02044,           0.0091802,           0.0091802,           0.0091802
                  93,            0.026474,           0.0089975,            0.015711,            0.010391,             0.16667,            0.011338,           0.0015175,            0.059957,           0.0082468,            0.020487,           0.0091712,           0.0091712,           0.0091712
                  94,            0.029623,           0.0094149,             0.01567,             0.61308,             0.97436,             0.81103,             0.52565,            0.013026,           0.0024664,           0.0065571,           0.0091622,           0.0091622,           0.0091622
                  95,            0.030114,           0.0095129,            0.013778,             0.55899,                   1,             0.90117,             0.66944,            0.012072,           0.0024787,           0.0059965,           0.0091532,           0.0091532,           0.0091532
                  96,            0.029002,           0.0088412,             0.01372,             0.54649,             0.98997,             0.83512,             0.61887,            0.011555,           0.0022547,           0.0063569,           0.0091441,           0.0091441,           0.0091441
                  97,            0.029133,           0.0087083,            0.016691,             0.66226,                   1,             0.83372,             0.68728,           0.0097961,           0.0021194,           0.0069559,           0.0091351,           0.0091351,           0.0091351
                  98,            0.027763,           0.0086062,             0.01594,             0.62305,                   1,             0.83823,             0.66597,            0.010221,           0.0020132,           0.0053793,           0.0091261,           0.0091261,           0.0091261
                  99,             0.02677,            0.008048,            0.014931,             0.71069,             0.99972,             0.87436,              0.6788,            0.012806,            0.002434,           0.0059629,           0.0091171,           0.0091171,           0.0091171
                 100,            0.026743,           0.0081629,            0.016747,              0.6698,             0.95088,             0.84917,             0.61431,            0.012644,           0.0031888,           0.0090234,           0.0091081,           0.0091081,           0.0091081
                 101,            0.031846,            0.010028,            0.011769,             0.72995,             0.93823,             0.93195,             0.65688,            0.016114,           0.0031907,           0.0053768,           0.0090991,           0.0090991,           0.0090991
                 102,            0.028009,           0.0090099,             0.01477,             0.72594,                   1,              0.9121,             0.70555,            0.014555,           0.0021928,           0.0052572,           0.0090901,           0.0090901,           0.0090901
                 103,            0.027759,           0.0084232,            0.014759,             0.71895,                   1,              0.8705,             0.73204,           0.0098425,            0.001916,           0.0051586,           0.0090811,           0.0090811,           0.0090811
                 104,            0.027213,           0.0082723,            0.012663,             0.72823,             0.96758,             0.91588,             0.75017,           0.0092481,           0.0020797,           0.0048145,           0.0090721,           0.0090721,           0.0090721
                 105,            0.027588,           0.0087443,             0.01594,             0.79604,             0.99997,             0.87294,             0.70819,            0.014273,           0.0018655,           0.0047659,           0.0090631,           0.0090631,           0.0090631
                 106,             0.02755,           0.0077778,            0.014567,             0.71308,                   1,             0.84157,             0.67279,            0.014717,           0.0020188,           0.0047752,           0.0090541,           0.0090541,           0.0090541
                 107,            0.029023,           0.0077096,            0.012315,             0.72127,                   1,              0.8955,             0.72188,            0.010254,           0.0019514,           0.0056192,            0.009045,            0.009045,            0.009045
                 108,            0.026209,           0.0080461,            0.015141,             0.86093,             0.71145,             0.82803,             0.65611,            0.011144,           0.0020523,           0.0060859,            0.009036,            0.009036,            0.009036
