               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1091,            0.020964,            0.034264,                   0,                   0,                   0,                   0,            0.065195,            0.012351,            0.020822,             0.00033,             0.00033,             0.09703
                   1,            0.087311,            0.021311,            0.031539,          0.00014537,            0.066667,          0.00061346,          7.1037e-05,             0.06204,            0.010359,            0.020811,           0.0006694,           0.0006694,            0.093969
                   2,            0.085097,            0.020078,            0.032432,          0.00039665,            0.086111,          0.00036825,          3.6825e-05,            0.080554,           0.0076673,            0.021477,           0.0010082,           0.0010082,            0.090908
                   3,             0.08532,             0.01987,            0.031622,           0.0087165,               0.275,            0.010513,           0.0016805,            0.049126,            0.026886,            0.055085,           0.0013464,           0.0013464,            0.087846
                   4,            0.081066,            0.020065,             0.03135,           0.0094787,             0.20833,            0.014575,            0.003814,            0.055949,              1.1071,             0.40567,           0.0016839,           0.0016839,            0.084784
                   5,            0.071813,            0.019841,            0.029377,            0.012522,             0.52778,            0.023102,           0.0046272,            0.054382,             0.25208,              0.1118,           0.0020209,           0.0020209,            0.081721
                   6,            0.072956,            0.020922,            0.030253,             0.17439,             0.23611,            0.012015,           0.0032069,            0.059537,              0.8741,             0.19732,           0.0023572,           0.0023572,            0.078657
                   7,            0.069113,            0.021301,            0.030445,           0.0087636,               0.475,             0.01783,           0.0028293,            0.054978,             0.17639,             0.12181,           0.0026929,           0.0026929,            0.075593
                   8,            0.065371,            0.022082,            0.029803,           0.0055261,              0.3125,           0.0074668,          0.00098663,            0.051255,            0.031525,            0.070843,            0.003028,            0.003028,            0.072528
                   9,            0.065213,             0.02171,            0.029967,            0.006603,               0.225,           0.0077203,          0.00092037,            0.044584,            0.011146,             0.03348,           0.0033625,           0.0033625,            0.069463
                  10,            0.062206,            0.022162,            0.029921,            0.003193,             0.13333,           0.0034952,          0.00059534,            0.047211,           0.0073754,            0.020148,           0.0036964,           0.0036964,            0.066396
                  11,            0.065312,              0.0208,            0.029733,                   0,                   0,                   0,                   0,            0.082174,           0.0081677,            0.020449,           0.0040297,           0.0040297,             0.06333
                  12,            0.059014,            0.021022,            0.028779,             0.20397,             0.19502,            0.058145,            0.017853,            0.031645,           0.0085047,            0.021217,           0.0043623,           0.0043623,            0.060262
                  13,            0.059437,            0.020879,            0.030375,             0.21301,             0.45633,             0.05438,            0.013142,            0.034125,            0.008854,            0.020084,           0.0046944,           0.0046944,            0.057194
                  14,             0.05928,            0.019641,            0.029748,           0.0078363,             0.13333,           0.0068746,          0.00073802,            0.065419,            0.013079,            0.019513,           0.0050258,           0.0050258,            0.054126
                  15,            0.058639,            0.019204,            0.029397,            0.076819,             0.43266,             0.08135,            0.017697,            0.034758,           0.0071676,            0.018999,           0.0053566,           0.0053566,            0.051057
                  16,            0.057991,            0.019781,             0.02929,             0.27524,             0.76503,             0.21828,            0.062574,            0.028582,            0.013643,            0.021438,           0.0056868,           0.0056868,            0.047987
                  17,            0.056084,            0.018533,            0.029019,             0.39153,             0.44722,             0.28187,            0.062284,            0.025285,           0.0066566,             0.02048,           0.0060164,           0.0060164,            0.044916
